accessory_count	enclosable	fragility	has_fixed_location	partner_node_available	requires_license	value_band	weight_class	tier	winning_row	precedence	all_matching_rows
none	true	robust	false	false	true	mid	machine_lift	4	R01	10	R01,R08
none	true	robust	false	false	true	high	hand	4	R01	10	R01,R10
none	true	robust	false	false	true	high	two_person	4	R01	10	R01,R10
none	true	robust	false	false	true	high	machine_lift	4	R01	10	R01,R08
none	true	robust	false	false	true	very_high	hand	4	R01	10	R01,R04,R10
none	true	robust	false	false	true	very_high	two_person	4	R01	10	R01,R04,R10
none	true	robust	false	false	true	very_high	machine_lift	4	R01	10	R01,R04,R08
none	true	robust	false	false	false	low	hand	1	R10	100	R10
none	true	robust	false	false	false	low	two_person	1	R10	100	R10
none	true	robust	false	false	false	low	machine_lift	2	R08	80	R08
none	true	robust	false	false	false	mid	hand	1	R10	100	R10
none	true	robust	false	false	false	mid	two_person	1	R10	100	R10
none	true	robust	false	false	false	mid	machine_lift	2	R08	80	R08
none	true	robust	false	false	false	high	hand	1	R10	100	R10
none	true	robust	false	false	false	high	two_person	1	R10	100	R10
none	true	robust	false	false	false	high	machine_lift	2	R08	80	R08
none	true	robust	false	false	false	very_high	hand	3	R04	40	R04,R10
none	true	robust	false	false	false	very_high	two_person	3	R04	40	R04,R10
none	true	robust	false	false	false	very_high	machine_lift	3	R04	40	R04,R08
none	true	delicate	true	true	true	low	hand	4	R01	10	R01,R02,R03,R07,R10
none	true	delicate	true	true	true	low	two_person	4	R01	10	R01,R02,R03,R07,R10
none	true	delicate	true	true	true	low	machine_lift	4	R01	10	R01,R02,R03,R07,R08
none	true	delicate	true	true	true	mid	hand	4	R01	10	R01,R02,R03,R07,R10
none	true	delicate	true	true	true	mid	two_person	4	R01	10	R01,R02,R03,R07,R10
none	true	delicate	true	true	true	mid	machine_lift	4	R01	10	R01,R02,R03,R07,R08
none	true	delicate	true	true	true	high	hand	4	R01	10	R01,R02,R03,R07,R10
none	true	delicate	true	true	true	high	two_person	4	R01	10	R01,R02,R03,R07,R10
none	true	delicate	true	true	true	high	machine_lift	4	R01	10	R01,R02,R03,R07,R08
none	true	delicate	true	true	true	very_high	hand	4	R01	10	R01,R02,R03,R04,R07,R10
none	true	delicate	true	true	true	very_high	two_person	4	R01	10	R01,R02,R03,R04,R07,R10
none	true	delicate	true	true	true	very_high	machine_lift	4	R01	10	R01,R02,R03,R04,R07,R08
none	true	delicate	true	true	false	low	hand	5	R02	20	R02,R03,R07,R10
none	true	delicate	true	true	false	low	two_person	5	R02	20	R02,R03,R07,R10
none	true	delicate	true	true	false	low	machine_lift	5	R02	20	R02,R03,R07,R08
none	true	delicate	true	true	false	mid	hand	5	R02	20	R02,R03,R07,R10
none	true	delicate	true	true	false	mid	two_person	5	R02	20	R02,R03,R07,R10
none	true	delicate	true	true	false	mid	machine_lift	5	R02	20	R02,R03,R07,R08
none	true	delicate	true	true	false	high	hand	5	R02	20	R02,R03,R07,R10
none	true	delicate	true	true	false	high	two_person	5	R02	20	R02,R03,R07,R10
none	true	delicate	true	true	false	high	machine_lift	5	R02	20	R02,R03,R07,R08
none	true	delicate	true	true	false	very_high	hand	5	R02	20	R02,R03,R04,R07,R10
none	true	delicate	true	true	false	very_high	two_person	5	R02	20	R02,R03,R04,R07,R10
none	true	delicate	true	true	false	very_high	machine_lift	5	R02	20	R02,R03,R04,R07,R08
none	true	delicate	true	false	true	low	hand	4	R01	10	R01,R03,R07,R10
none	true	delicate	true	false	true	low	two_person	4	R01	10	R01,R03,R07,R10
none	true	delicate	true	false	true	low	machine_lift	4	R01	10	R01,R03,R07,R08
none	true	delicate	true	false	true	mid	hand	4	R01	10	R01,R03,R07,R10
none	true	delicate	true	false	true	mid	two_person	4	R01	10	R01,R03,R07,R10
none	true	delicate	true	false	true	mid	machine_lift	4	R01	10	R01,R03,R07,R08
none	true	delicate	true	false	true	high	hand	4	R01	10	R01,R03,R07,R10
none	true	delicate	true	false	true	high	two_person	4	R01	10	R01,R03,R07,R10
none	true	delicate	true	false	true	high	machine_lift	4	R01	10	R01,R03,R07,R08
none	true	delicate	true	false	true	very_high	hand	4	R01	10	R01,R03,R04,R07,R10
none	true	delicate	true	false	true	very_high	two_person	4	R01	10	R01,R03,R04,R07,R10
none	true	delicate	true	false	true	very_high	machine_lift	4	R01	10	R01,R03,R04,R07,R08
none	true	delicate	true	false	false	low	hand	3	R03	30	R03,R07,R10
none	true	delicate	true	false	false	low	two_person	3	R03	30	R03,R07,R10
none	true	delicate	true	false	false	low	machine_lift	3	R03	30	R03,R07,R08
none	true	delicate	true	false	false	mid	hand	3	R03	30	R03,R07,R10
none	true	delicate	true	false	false	mid	two_person	3	R03	30	R03,R07,R10
none	true	delicate	true	false	false	mid	machine_lift	3	R03	30	R03,R07,R08
none	true	delicate	true	false	false	high	hand	3	R03	30	R03,R07,R10
none	true	delicate	true	false	false	high	two_person	3	R03	30	R03,R07,R10
none	true	delicate	true	false	false	high	machine_lift	3	R03	30	R03,R07,R08
none	true	delicate	true	false	false	very_high	hand	3	R03	30	R03,R04,R07,R10
none	true	delicate	true	false	false	very_high	two_person	3	R03	30	R03,R04,R07,R10
none	true	delicate	true	false	false	very_high	machine_lift	3	R03	30	R03,R04,R07,R08
none	true	delicate	false	true	true	low	hand	4	R01	10	R01,R02,R03,R10
none	true	delicate	false	true	true	low	two_person	4	R01	10	R01,R02,R03,R10
none	true	delicate	false	true	true	low	machine_lift	4	R01	10	R01,R02,R03,R08
none	true	delicate	false	true	true	mid	hand	4	R01	10	R01,R02,R03,R10
none	true	delicate	false	true	true	mid	two_person	4	R01	10	R01,R02,R03,R10
none	true	delicate	false	true	true	mid	machine_lift	4	R01	10	R01,R02,R03,R08
none	true	delicate	false	true	true	high	hand	4	R01	10	R01,R02,R03,R10
none	true	delicate	false	true	true	high	two_person	4	R01	10	R01,R02,R03,R10
none	true	delicate	false	true	true	high	machine_lift	4	R01	10	R01,R02,R03,R08
none	true	delicate	false	true	true	very_high	hand	4	R01	10	R01,R02,R03,R04,R10
none	true	delicate	false	true	true	very_high	two_person	4	R01	10	R01,R02,R03,R04,R10
none	true	delicate	false	true	true	very_high	machine_lift	4	R01	10	R01,R02,R03,R04,R08
none	true	delicate	false	true	false	low	hand	5	R02	20	R02,R03,R10
none	true	delicate	false	true	false	low	two_person	5	R02	20	R02,R03,R10
none	true	delicate	false	true	false	low	machine_lift	5	R02	20	R02,R03,R08
none	true	delicate	false	true	false	mid	hand	5	R02	20	R02,R03,R10
none	true	delicate	false	true	false	mid	two_person	5	R02	20	R02,R03,R10
none	true	delicate	false	true	false	mid	machine_lift	5	R02	20	R02,R03,R08
none	true	delicate	false	true	false	high	hand	5	R02	20	R02,R03,R10
none	true	delicate	false	true	false	high	two_person	5	R02	20	R02,R03,R10
none	true	delicate	false	true	false	high	machine_lift	5	R02	20	R02,R03,R08
none	true	delicate	false	true	false	very_high	hand	5	R02	20	R02,R03,R04,R10
none	true	delicate	false	true	false	very_high	two_person	5	R02	20	R02,R03,R04,R10
none	true	delicate	false	true	false	very_high	machine_lift	5	R02	20	R02,R03,R04,R08
none	true	delicate	false	false	true	low	hand	4	R01	10	R01,R03,R10
none	true	delicate	false	false	true	low	two_person	4	R01	10	R01,R03,R10
none	true	delicate	false	false	true	low	machine_lift	4	R01	10	R01,R03,R08
none	true	delicate	false	false	true	mid	hand	4	R01	10	R01,R03,R10
none	true	delicate	false	false	true	mid	two_person	4	R01	10	R01,R03,R10
none	true	delicate	false	false	true	mid	machine_lift	4	R01	10	R01,R03,R08
none	true	delicate	false	false	true	high	hand	4	R01	10	R01,R03,R10
none	true	delicate	false	false	true	high	two_person	4	R01	10	R01,R03,R10
none	true	delicate	false	false	true	high	machine_lift	4	R01	10	R01,R03,R08
none	true	delicate	false	false	true	very_high	hand	4	R01	10	R01,R03,R04,R10
none	true	delicate	false	false	true	very_high	two_person	4	R01	10	R01,R03,R04,R10
none	true	delicate	false	false	true	very_high	machine_lift	4	R01	10	R01,R03,R04,R08
none	true	delicate	false	false	false	low	hand	3	R03	30	R03,R10
none	true	delicate	false	false	false	low	two_person	3	R03	30	R03,R10
none	true	delicate	false	false	false	low	machine_lift	3	R03	30	R03,R08
none	true	delicate	false	false	false	mid	hand	3	R03	30	R03,R10
none	true	delicate	false	false	false	mid	two_person	3	R03	30	R03,R10
none	true	delicate	false	false	false	mid	machine_lift	3	R03	30	R03,R08
none	true	delicate	false	false	false	high	hand	3	R03	30	R03,R10
none	true	delicate	false	false	false	high	two_person	3	R03	30	R03,R10
none	true	delicate	false	false	false	high	machine_lift	3	R03	30	R03,R08
none	true	delicate	false	false	false	very_high	hand	3	R03	30	R03,R04,R10
none	true	delicate	false	false	false	very_high	two_person	3	R03	30	R03,R04,R10
none	true	delicate	false	false	false	very_high	machine_lift	3	R03	30	R03,R04,R08
none	false	robust	true	true	true	low	hand	4	R01	10	R01,R02,R07,R09
none	false	robust	true	true	true	low	two_person	4	R01	10	R01,R02,R07,R09
none	false	robust	true	true	true	low	machine_lift	4	R01	10	R01,R02,R07,R08,R09
none	false	robust	true	true	true	mid	hand	4	R01	10	R01,R02,R07,R09
none	false	robust	true	true	true	mid	two_person	4	R01	10	R01,R02,R07,R09
none	false	robust	true	true	true	mid	machine_lift	4	R01	10	R01,R02,R07,R08,R09
none	false	robust	true	true	true	high	hand	4	R01	10	R01,R02,R07,R09
none	false	robust	true	true	true	high	two_person	4	R01	10	R01,R02,R07,R09
none	false	robust	true	true	true	high	machine_lift	4	R01	10	R01,R02,R07,R08,R09
none	false	robust	true	true	true	very_high	hand	4	R01	10	R01,R02,R04,R07,R09
none	false	robust	true	true	true	very_high	two_person	4	R01	10	R01,R02,R04,R07,R09
none	false	robust	true	true	true	very_high	machine_lift	4	R01	10	R01,R02,R04,R07,R08,R09
none	false	robust	true	true	false	low	hand	5	R02	20	R02,R07,R09
none	false	robust	true	true	false	low	two_person	5	R02	20	R02,R07,R09
none	false	robust	true	true	false	low	machine_lift	5	R02	20	R02,R07,R08,R09
none	false	robust	true	true	false	mid	hand	5	R02	20	R02,R07,R09
none	false	robust	true	true	false	mid	two_person	5	R02	20	R02,R07,R09
none	false	robust	true	true	false	mid	machine_lift	5	R02	20	R02,R07,R08,R09
none	false	robust	true	true	false	high	hand	5	R02	20	R02,R07,R09
none	false	robust	true	true	false	high	two_person	5	R02	20	R02,R07,R09
none	false	robust	true	true	false	high	machine_lift	5	R02	20	R02,R07,R08,R09
none	false	robust	true	true	false	very_high	hand	5	R02	20	R02,R04,R07,R09
none	false	robust	true	true	false	very_high	two_person	5	R02	20	R02,R04,R07,R09
none	false	robust	true	true	false	very_high	machine_lift	5	R02	20	R02,R04,R07,R08,R09
none	false	robust	true	false	true	low	hand	4	R01	10	R01,R07,R09
none	false	robust	true	false	true	low	two_person	4	R01	10	R01,R07,R09
none	false	robust	true	false	true	low	machine_lift	4	R01	10	R01,R07,R08,R09
none	false	robust	true	false	true	mid	hand	4	R01	10	R01,R07,R09
none	false	robust	true	false	true	mid	two_person	4	R01	10	R01,R07,R09
none	false	robust	true	false	true	mid	machine_lift	4	R01	10	R01,R07,R08,R09
none	false	robust	true	false	true	high	hand	4	R01	10	R01,R07,R09
none	false	robust	true	false	true	high	two_person	4	R01	10	R01,R07,R09
none	false	robust	true	false	true	high	machine_lift	4	R01	10	R01,R07,R08,R09
none	false	robust	true	false	true	very_high	hand	4	R01	10	R01,R04,R07,R09
none	false	robust	true	false	true	very_high	two_person	4	R01	10	R01,R04,R07,R09
none	false	robust	true	false	true	very_high	machine_lift	4	R01	10	R01,R04,R07,R08,R09
none	false	robust	true	false	false	low	hand	2	R07	70	R07,R09
none	false	robust	true	false	false	low	two_person	2	R07	70	R07,R09
none	false	robust	true	false	false	low	machine_lift	2	R07	70	R07,R08,R09
none	false	robust	true	false	false	mid	hand	2	R07	70	R07,R09
none	false	robust	true	false	false	mid	two_person	2	R07	70	R07,R09
none	false	robust	true	false	false	mid	machine_lift	2	R07	70	R07,R08,R09
none	false	robust	true	false	false	high	hand	2	R07	70	R07,R09
none	false	robust	true	false	false	high	two_person	2	R07	70	R07,R09
none	false	robust	true	false	false	high	machine_lift	2	R07	70	R07,R08,R09
none	false	robust	true	false	false	very_high	hand	3	R04	40	R04,R07,R09
none	false	robust	true	false	false	very_high	two_person	3	R04	40	R04,R07,R09
none	false	robust	true	false	false	very_high	machine_lift	3	R04	40	R04,R07,R08,R09
none	false	robust	false	true	true	low	hand	4	R01	10	R01,R02,R09
none	false	robust	false	true	true	low	two_person	4	R01	10	R01,R02,R09
none	false	robust	false	true	true	low	machine_lift	4	R01	10	R01,R02,R08,R09
none	false	robust	false	true	true	mid	hand	4	R01	10	R01,R02,R09
none	false	robust	false	true	true	mid	two_person	4	R01	10	R01,R02,R09
none	false	robust	false	true	true	mid	machine_lift	4	R01	10	R01,R02,R08,R09
none	false	robust	false	true	true	high	hand	4	R01	10	R01,R02,R09
none	false	robust	false	true	true	high	two_person	4	R01	10	R01,R02,R09
none	false	robust	false	true	true	high	machine_lift	4	R01	10	R01,R02,R08,R09
none	false	robust	false	true	true	very_high	hand	4	R01	10	R01,R02,R04,R09
none	false	robust	false	true	true	very_high	two_person	4	R01	10	R01,R02,R04,R09
none	false	robust	false	true	true	very_high	machine_lift	4	R01	10	R01,R02,R04,R08,R09
none	false	robust	false	true	false	low	hand	5	R02	20	R02,R09
none	false	robust	false	true	false	low	two_person	5	R02	20	R02,R09
none	false	robust	false	true	false	low	machine_lift	5	R02	20	R02,R08,R09
none	false	robust	false	true	false	mid	hand	5	R02	20	R02,R09
none	false	robust	false	true	false	mid	two_person	5	R02	20	R02,R09
none	false	robust	false	true	false	mid	machine_lift	5	R02	20	R02,R08,R09
none	false	robust	false	true	false	high	hand	5	R02	20	R02,R09
none	false	robust	false	true	false	high	two_person	5	R02	20	R02,R09
none	false	robust	false	true	false	high	machine_lift	5	R02	20	R02,R08,R09
none	false	robust	false	true	false	very_high	hand	5	R02	20	R02,R04,R09
none	false	robust	false	true	false	very_high	two_person	5	R02	20	R02,R04,R09
none	false	robust	false	true	false	very_high	machine_lift	5	R02	20	R02,R04,R08,R09
none	false	robust	false	false	true	low	hand	4	R01	10	R01,R09
none	false	robust	false	false	true	low	two_person	4	R01	10	R01,R09
none	false	robust	false	false	true	low	machine_lift	4	R01	10	R01,R08,R09
none	false	robust	false	false	true	mid	hand	4	R01	10	R01,R09
none	false	robust	false	false	true	mid	two_person	4	R01	10	R01,R09
none	false	robust	false	false	true	mid	machine_lift	4	R01	10	R01,R08,R09
none	false	robust	false	false	true	high	hand	4	R01	10	R01,R09
none	false	robust	false	false	true	high	two_person	4	R01	10	R01,R09
none	false	robust	false	false	true	high	machine_lift	4	R01	10	R01,R08,R09
none	false	robust	false	false	true	very_high	hand	4	R01	10	R01,R04,R09
none	false	robust	false	false	true	very_high	two_person	4	R01	10	R01,R04,R09
none	false	robust	false	false	true	very_high	machine_lift	4	R01	10	R01,R04,R08,R09
none	false	robust	false	false	false	low	hand	2	R09	90	R09
none	false	robust	false	false	false	low	two_person	2	R09	90	R09
none	false	robust	false	false	false	low	machine_lift	2	R08	80	R08,R09
none	false	robust	false	false	false	mid	hand	2	R09	90	R09
none	false	robust	false	false	false	mid	two_person	2	R09	90	R09
none	false	robust	false	false	false	mid	machine_lift	2	R08	80	R08,R09
none	false	robust	false	false	false	high	hand	2	R09	90	R09
none	false	robust	false	false	false	high	two_person	2	R09	90	R09
none	false	robust	false	false	false	high	machine_lift	2	R08	80	R08,R09
none	false	robust	false	false	false	very_high	hand	3	R04	40	R04,R09
none	false	robust	false	false	false	very_high	two_person	3	R04	40	R04,R09
none	false	robust	false	false	false	very_high	machine_lift	3	R04	40	R04,R08,R09
none	false	delicate	true	true	true	low	hand	4	R01	10	R01,R02,R03,R07,R09
none	false	delicate	true	true	true	low	two_person	4	R01	10	R01,R02,R03,R07,R09
none	false	delicate	true	true	true	low	machine_lift	4	R01	10	R01,R02,R03,R07,R08,R09
none	false	delicate	true	true	true	mid	hand	4	R01	10	R01,R02,R03,R07,R09
none	false	delicate	true	true	true	mid	two_person	4	R01	10	R01,R02,R03,R07,R09
none	false	delicate	true	true	true	mid	machine_lift	4	R01	10	R01,R02,R03,R07,R08,R09
none	false	delicate	true	true	true	high	hand	4	R01	10	R01,R02,R03,R07,R09
none	false	delicate	true	true	true	high	two_person	4	R01	10	R01,R02,R03,R07,R09
none	false	delicate	true	true	true	high	machine_lift	4	R01	10	R01,R02,R03,R07,R08,R09
none	false	delicate	true	true	true	very_high	hand	4	R01	10	R01,R02,R03,R04,R07,R09
none	false	delicate	true	true	true	very_high	two_person	4	R01	10	R01,R02,R03,R04,R07,R09
none	false	delicate	true	true	true	very_high	machine_lift	4	R01	10	R01,R02,R03,R04,R07,R08,R09
none	false	delicate	true	true	false	low	hand	5	R02	20	R02,R03,R07,R09
none	false	delicate	true	true	false	low	two_person	5	R02	20	R02,R03,R07,R09
none	false	delicate	true	true	false	low	machine_lift	5	R02	20	R02,R03,R07,R08,R09
none	false	delicate	true	true	false	mid	hand	5	R02	20	R02,R03,R07,R09
none	false	delicate	true	true	false	mid	two_person	5	R02	20	R02,R03,R07,R09
none	false	delicate	true	true	false	mid	machine_lift	5	R02	20	R02,R03,R07,R08,R09
none	false	delicate	true	true	false	high	hand	5	R02	20	R02,R03,R07,R09
none	false	delicate	true	true	false	high	two_person	5	R02	20	R02,R03,R07,R09
none	false	delicate	true	true	false	high	machine_lift	5	R02	20	R02,R03,R07,R08,R09
none	false	delicate	true	true	false	very_high	hand	5	R02	20	R02,R03,R04,R07,R09
none	false	delicate	true	true	false	very_high	two_person	5	R02	20	R02,R03,R04,R07,R09
none	false	delicate	true	true	false	very_high	machine_lift	5	R02	20	R02,R03,R04,R07,R08,R09
none	false	delicate	true	false	true	low	hand	4	R01	10	R01,R03,R07,R09
none	false	delicate	true	false	true	low	two_person	4	R01	10	R01,R03,R07,R09
none	false	delicate	true	false	true	low	machine_lift	4	R01	10	R01,R03,R07,R08,R09
none	false	delicate	true	false	true	mid	hand	4	R01	10	R01,R03,R07,R09
none	false	delicate	true	false	true	mid	two_person	4	R01	10	R01,R03,R07,R09
none	false	delicate	true	false	true	mid	machine_lift	4	R01	10	R01,R03,R07,R08,R09
none	false	delicate	true	false	true	high	hand	4	R01	10	R01,R03,R07,R09
none	false	delicate	true	false	true	high	two_person	4	R01	10	R01,R03,R07,R09
none	false	delicate	true	false	true	high	machine_lift	4	R01	10	R01,R03,R07,R08,R09
none	false	delicate	true	false	true	very_high	hand	4	R01	10	R01,R03,R04,R07,R09
none	false	delicate	true	false	true	very_high	two_person	4	R01	10	R01,R03,R04,R07,R09
none	false	delicate	true	false	true	very_high	machine_lift	4	R01	10	R01,R03,R04,R07,R08,R09
none	false	delicate	true	false	false	low	hand	3	R03	30	R03,R07,R09
none	false	delicate	true	false	false	low	two_person	3	R03	30	R03,R07,R09
none	false	delicate	true	false	false	low	machine_lift	3	R03	30	R03,R07,R08,R09
none	false	delicate	true	false	false	mid	hand	3	R03	30	R03,R07,R09
none	false	delicate	true	false	false	mid	two_person	3	R03	30	R03,R07,R09
none	false	delicate	true	false	false	mid	machine_lift	3	R03	30	R03,R07,R08,R09
none	false	delicate	true	false	false	high	hand	3	R03	30	R03,R07,R09
none	false	delicate	true	false	false	high	two_person	3	R03	30	R03,R07,R09
none	false	delicate	true	false	false	high	machine_lift	3	R03	30	R03,R07,R08,R09
none	false	delicate	true	false	false	very_high	hand	3	R03	30	R03,R04,R07,R09
none	false	delicate	true	false	false	very_high	two_person	3	R03	30	R03,R04,R07,R09
none	false	delicate	true	false	false	very_high	machine_lift	3	R03	30	R03,R04,R07,R08,R09
none	false	delicate	false	true	true	low	hand	4	R01	10	R01,R02,R03,R09
none	false	delicate	false	true	true	low	two_person	4	R01	10	R01,R02,R03,R09
none	false	delicate	false	true	true	low	machine_lift	4	R01	10	R01,R02,R03,R08,R09
none	false	delicate	false	true	true	mid	hand	4	R01	10	R01,R02,R03,R09
none	false	delicate	false	true	true	mid	two_person	4	R01	10	R01,R02,R03,R09
none	false	delicate	false	true	true	mid	machine_lift	4	R01	10	R01,R02,R03,R08,R09
none	false	delicate	false	true	true	high	hand	4	R01	10	R01,R02,R03,R09
none	false	delicate	false	true	true	high	two_person	4	R01	10	R01,R02,R03,R09
none	false	delicate	false	true	true	high	machine_lift	4	R01	10	R01,R02,R03,R08,R09
none	false	delicate	false	true	true	very_high	hand	4	R01	10	R01,R02,R03,R04,R09
none	false	delicate	false	true	true	very_high	two_person	4	R01	10	R01,R02,R03,R04,R09
none	false	delicate	false	true	true	very_high	machine_lift	4	R01	10	R01,R02,R03,R04,R08,R09
none	false	delicate	false	true	false	low	hand	5	R02	20	R02,R03,R09
none	false	delicate	false	true	false	low	two_person	5	R02	20	R02,R03,R09
none	false	delicate	false	true	false	low	machine_lift	5	R02	20	R02,R03,R08,R09
none	false	delicate	false	true	false	mid	hand	5	R02	20	R02,R03,R09
none	false	delicate	false	true	false	mid	two_person	5	R02	20	R02,R03,R09
none	false	delicate	false	true	false	mid	machine_lift	5	R02	20	R02,R03,R08,R09
none	false	delicate	false	true	false	high	hand	5	R02	20	R02,R03,R09
none	false	delicate	false	true	false	high	two_person	5	R02	20	R02,R03,R09
none	false	delicate	false	true	false	high	machine_lift	5	R02	20	R02,R03,R08,R09
none	false	delicate	false	true	false	very_high	hand	5	R02	20	R02,R03,R04,R09
none	false	delicate	false	true	false	very_high	two_person	5	R02	20	R02,R03,R04,R09
none	false	delicate	false	true	false	very_high	machine_lift	5	R02	20	R02,R03,R04,R08,R09
none	false	delicate	false	false	true	low	hand	4	R01	10	R01,R03,R09
none	false	delicate	false	false	true	low	two_person	4	R01	10	R01,R03,R09
none	false	delicate	false	false	true	low	machine_lift	4	R01	10	R01,R03,R08,R09
none	false	delicate	false	false	true	mid	hand	4	R01	10	R01,R03,R09
none	false	delicate	false	false	true	mid	two_person	4	R01	10	R01,R03,R09
none	false	delicate	false	false	true	mid	machine_lift	4	R01	10	R01,R03,R08,R09
